Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
185,SP2,02/12/01,Levante,Salamanca,2,2,D,0,0,D,2.65,2.6,2.75,2.4,2.7,2.6,2.6,2.8,2.6,2.4,2.8,2.75
186,SP2,02/12/01,Oviedo,Murcia,2,0,H,1,0,H,1.7,2.9,5,1.7,2.9,4,1.73,3.1,4.5,1.7,2.9,5
187,SP2,02/12/01,Ferrol,Sp Gijon,1,2,A,1,2,A,1.9,2.8,4,1.9,2.8,3.4,1.91,3,3.75,1.9,2.9,3.75
188,SP2,02/12/01,Santander,Cordoba,2,0,H,1,0,H,1.7,2.9,5,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.1,4.8
189,SP2,08/12/01,Cordoba,Burgos,1,1,D,0,0,D,2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
190,SP2,08/12/01,Elche,Santander,1,1,D,0,0,D,2.2,2.8,3.15,2.3,2.7,2.7,2.3,2.88,2.88,2.4,2.75,2.8
191,SP2,09/12/01,Albacete,Jaen,4,0,H,0,0,D,2.05,2.8,3.55,2.1,2.8,3,2,3,3.4,2.1,2.9,3.2
192,SP2,09/12/01,Ath Madrid,Oviedo,0,0,D,0,0,D,1.62,3.2,5.1,1.65,2.9,4.4,1.67,3.1,5,1.7,3.1,4.5
193,SP2,09/12/01,Badajoz,Ferrol,2,1,H,1,0,H,2,2.8,3.7,2,2.8,3.1,2,2.8,3.75,2,2.85,3.5
194,SP2,09/12/01,Poli Ejido,Gimnastic,1,0,H,0,0,D,2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
195,SP2,09/12/01,Murcia,Extremadura,2,1,H,2,0,H,1.98,2.8,3.75,2,2.7,3.3,1.91,2.88,4,2,2.85,3.5
196,SP2,09/12/01,Numancia,Eibar,1,1,D,0,0,D,2,2.8,3.7,1.9,2.7,3.5,1.91,2.88,4,1.85,3,3.8
197,SP2,09/12/01,Recreativo,Levante,0,0,D,0,0,D,1.55,3.25,5.75,1.55,3,5,1.5,3.4,6,1.5,3.3,6
198,SP2,09/12/01,Salamanca,Xerez,1,1,D,1,1,D,2.4,2.65,3,2.3,2.8,2.6,2.25,2.8,3.1,2.4,2.75,2.8
199,SP2,09/12/01,Sp Gijon,Leganes,1,1,D,1,1,D,1.8,3,4.25,1.8,2.8,3.7,1.8,3,4.33,1.75,3,4.3
200,SP2,15/12/01,Levante,Sp Gijon,4,3,H,0,2,A,2.45,2.8,2.75,2.4,2.7,2.6,2.4,2.8,2.8,2.6,2.7,2.6
201,SP2,15/12/01,Xerez,Gimnastic,2,1,H,2,0,H,1.5,3.3,6.3,1.45,3.2,5.7,1.44,3.5,7,1.4,3.4,7.5
202,SP2,16/12/01,Burgos,Elche,0,0,D,0,0,D,1.95,2.9,3.7,2,2.8,3.1,1.91,3,3.75,1.9,3,3.6
203,SP2,16/12/01,Eibar,Albacete,1,0,H,0,0,D,2.25,2.8,3.05,2.2,2.7,2.9,2.2,2.8,3.2,2.25,2.75,3
204,SP2,16/12/01,Extremadura,Ath Madrid,2,0,H,1,0,H,3.7,2.8,2,3.2,2.9,1.9,3.6,2.88,2,3.75,2.9,1.9
205,SP2,16/12/01,Jaen,Cordoba,1,2,A,1,0,H,2,2.8,3.7,2,2.7,3.3,2.1,2.88,3.3,2,2.8,3.5
206,SP2,16/12/01,Leganes,Badajoz,1,0,H,0,0,D,2.35,2.8,2.9,2.4,2.7,2.6,2.38,2.88,2.8,2.5,2.7,2.7
207,SP2,16/12/01,Oviedo,Poli Ejido,1,1,D,0,0,D,1.4,3.6,7.3,1.4,3.4,6,1.4,3.6,7.5,1.4,3.6,7
