Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
129,I2,25/11/01,Salernitana,Vicenza,0,0,D,0,0,D,2.4,2.55,3.1,2.4,2.5,2.8,,,,2.3,2.6,3.2
130,I2,25/11/01,Sampdoria,Modena,1,1,D,1,0,H,2.3,2.6,3.2,2.2,2.5,3.1,,,,2.2,2.65,3.25
131,I2,26/11/01,Crotone,Cosenza,0,2,A,0,0,D,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.3,2.6,3.2
132,I2,30/11/01,Ternana,Salernitana,0,2,A,0,2,A,,,,,,,,,,,,
133,I2,02/12/01,Ancona,Pistoiese,2,1,H,1,1,D,1.9,2.75,4.2,1.9,2.6,3.8,,,,1.9,2.6,4.5
134,I2,02/12/01,Como,Cagliari,1,0,H,0,0,D,1.8,2.8,4.6,1.75,2.6,4.5,,,,1.7,2.75,5.4
135,I2,02/12/01,Cosenza,Bari,2,1,H,1,1,D,2.15,2.6,3.45,2.1,2.6,3.3,,,,2.2,2.6,3.35
136,I2,02/12/01,Genoa,Crotone,1,1,D,0,0,D,1.5,3.25,6.5,1.45,3,6.2,,,,1.45,3.25,7
137,I2,02/12/01,Messina,Sampdoria,1,1,D,1,0,H,2.35,2.5,3.3,2.3,2.5,2.9,,,,2.25,2.6,3.25
138,I2,02/12/01,Modena,Cittadella,4,2,H,3,0,H,1.47,3.3,6.85,1.4,3.2,6.5,,,,1.4,3.5,7.5
139,I2,02/12/01,Siena,Reggina,2,2,D,1,1,D,2.75,2.55,2.7,2.7,2.6,2.4,,,,2.75,2.6,2.6
140,I2,02/12/01,Vicenza,Empoli,1,2,A,0,0,D,2.05,2.65,3.8,2,2.6,3.5,,,,2,2.65,3.85
141,I2,03/12/01,Napoli,Palermo,3,2,H,1,2,A,1.95,2.6,4.3,1.9,2.6,3.8,,,,1.9,2.65,4.3
