Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
80,I2,02/11/02,Venezia,Salernitana,1,0,H,0,0,D,2.1,2.75,3.5,2.1,2.75,3.5,2.1,2.7,3.1,2.2,2.75,3.25,2.1,2.75,3.4,2.1,2.7,3.4,,
81,I2,02/11/02,Verona,Vicenza,4,2,H,3,1,H,2.1,2.75,3.5,2.15,2.7,3.4,2.1,2.6,3.3,2.2,2.62,3.4,2.1,2.7,3.5,2.1,2.7,3.4,,
82,I2,05/11/02,Ancona,Verona,1,1,D,1,0,H,1.83,2.8,4.5,1.88,2.8,4.6,1.75,2.7,4.2,1.8,2.7,5,1.8,2.8,4.5,1.75,2.8,4.8,1.93,1.72
83,I2,05/11/02,Bari,Triestina,0,0,D,0,0,D,1.91,2.62,4.5,1.8,2.75,4.7,1.75,2.8,4,1.83,2.75,4.5,1.8,2.8,4.5,,,,2.1,1.62
84,I2,05/11/02,Cagliari,Venezia,1,0,H,0,0,D,1.67,2.88,5.5,1.64,2.95,5.5,1.6,2.8,5,1.7,2.7,6,1.615,2.875,6,1.6,2.85,6.25,1.93,1.72
85,I2,05/11/02,Catania,Napoli,0,2,A,0,1,A,2.4,2.4,3.4,2.45,2.6,3,2.4,2.6,2.7,2.3,2.62,3.25,2.4,2.625,3,2.35,2.55,3.1,1.93,1.72
86,I2,05/11/02,Cosenza,Palermo,1,2,A,0,1,A,2.4,2.4,3.4,2.5,2.6,3,2.4,2.6,2.7,2.4,2.62,3,2.5,2.6,2.875,2.35,2.6,3.05,1.93,1.72
87,I2,05/11/02,Salernitana,Ascoli,1,2,A,1,1,D,2,2.7,4,1.92,2.8,4.05,1.8,2.8,3.7,2.1,2.75,3.5,1.85,2.875,4,1.9,2.75,4,1.88,1.78
88,I2,05/11/02,Siena,Lecce,0,0,D,0,0,D,2.4,2.4,3.4,2.5,2.55,3.1,2.4,2.5,2.8,2.4,2.5,3.25,2.4,2.5,3.1,2.4,2.6,3,2.1,1.62
89,I2,05/11/02,Ternana,Messina,1,0,H,1,0,H,1.73,2.75,5.5,1.8,2.85,4.9,1.75,2.8,4,1.73,2.75,5.5,1.7,2.875,5,1.75,2.85,4.7,2.16,1.62
