Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,,
206,E0,08/01/00,Bradford,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,
207,E0,12/01/00,Chelsea,Tottenham,1,0,H,0,0,D,,,,,,,,,,,,
208,E0,15/01/00,Arsenal,Sunderland,4,1,H,3,0,H,,,,,,,,,,,,
209,E0,15/01/00,Chelsea,Leicester,1,1,D,0,1,A,,,,,,,,,,,,
210,E0,15/01/00,Coventry,Wimbledon,2,0,H,0,0,D,,,,,,,,,,,,
211,E0,15/01/00,Everton,Tottenham,2,2,D,1,2,A,,,,,,,,,,,,
212,E0,15/01/00,Middlesbrough,Derby,1,4,A,0,1,A,,,,,,,,,,,,
213,E0,15/01/00,Sheffield Weds,Bradford,2,0,H,0,0,D,,,,,,,,,,,,
214,E0,15/01/00,Watford,Liverpool,2,3,A,1,2,A,,,,,,,,,,,,
215,E0,15/01/00,West Ham,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,
216,E0,16/01/00,Newcastle,Southampton,5,0,H,4,0,H,,,,,,,,,,,,
217,E0,22/01/00,Aston Villa,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,
218,E0,22/01/00,Bradford,Watford,3,2,H,2,1,H,,,,,,,,,,,,
219,E0,22/01/00,Derby,Coventry,0,0,D,0,0,D,,,,,,,,,,,,
220,E0,22/01/00,Leicester,West Ham,1,3,A,1,2,A,,,,,,,,,,,,
221,E0,22/01/00,Liverpool,Middlesbrough,0,0,D,0,0,D,,,,,,,,,,,,
222,E0,22/01/00,Southampton,Everton,2,0,H,0,0,D,,,,,,,,,,,,
223,E0,22/01/00,Tottenham,Sheffield Weds,0,1,A,0,1,A,,,,,,,,,,,,
224,E0,22/01/00,Wimbledon,Newcastle,2,0,H,0,0,D,,,,,,,,,,,,
225,E0,23/01/00,Sunderland,Leeds,1,2,A,0,1,A,,,,,,,,,,,,
226,E0,24/01/00,Man United,Arsenal,1,1,D,0,1,A,,,,,,,,,,,,
227,E0,29/01/00,Man United,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,,
228,E0,02/02/00,Sheffield Weds,Man United,0,1,A,0,0,D,,,,,,,,,,,,
229,E0,05/02/00,Aston Villa,Watford,4,0,H,0,0,D,,,,,,,,,,,,
230,E0,05/02/00,Bradford,Arsenal,2,1,H,1,1,D,,,,,,,,,,,,
231,E0,05/02/00,Derby,Sheffield Weds,3,3,D,0,1,A,,,,,,,,,,,,
232,E0,05/02/00,Leicester,Middlesbrough,2,1,H,2,0,H,,,,,,,,,,,,
233,E0,05/02/00,Liverpool,Leeds,3,1,H,1,0,H,,,,,,,,,,,,
234,E0,05/02/00,Man United,Coventry,3,2,H,1,0,H,,,,,,,,,,,,
235,E0,05/02/00,Southampton,West Ham,2,1,H,0,0,D,,,,,,,,,,,,
236,E0,05/02/00,Sunderland,Newcastle,2,2,D,1,2,A,,,,,,,,,,,,
237,E0,05/02/00,Tottenham,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
238,E0,06/02/00,Wimbledon,Everton,0,3,A,0,0,D,,,,,,,,,,,,
239,E0,12/02/00,Chelsea,Wimbledon,3,1,H,0,0,D,,,,,,,,,,,,
240,E0,12/02/00,Coventry,Sunderland,3,2,H,3,0,H,,,,,,,,,,,,
241,E0,12/02/00,Everton,Derby,2,1,H,2,0,H,,,,,,,,,,,,
242,E0,12/02/00,Leeds,Tottenham,1,0,H,1,0,H,,,,,,,,,,,,
243,E0,12/02/00,Newcastle,Man United,3,0,H,1,0,H,,,,,,,,,,,,
244,E0,12/02/00,Sheffield Weds,Southampton,0,1,A,0,1,A,,,,,,,,,,,,
245,E0,12/02/00,Watford,Leicester,1,1,D,0,1,A,,,,,,,,,,,,
246,E0,12/02/00,West Ham,Bradford,5,4,H,2,2,D,,,,,,,,,,,,
247,E0,13/02/00,Arsenal,Liverpool,0,1,A,0,1,A,,,,,,,,,,,,
248,E0,14/02/00,Middlesbrough,Aston Villa,0,4,A,0,1,A,,,,,,,,,,,,
249,E0,19/02/00,Middlesbrough,Coventry,2,0,H,2,0,H,,,,,,,,,,,,
250,E0,20/02/00,Leeds,Man United,0,1,A,0,0,D,,,,,,,,,,,,
251,E0,26/02/00,Arsenal,Southampton,3,1,H,2,0,H,,,,,,,,,,,,
252,E0,26/02/00,Bradford,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,
253,E0,26/02/00,Chelsea,Watford,2,1,H,1,1,D,,,,,,,,,,,,
254,E0,26/02/00,Coventry,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,
255,E0,26/02/00,Middlesbrough,Leeds,0,0,D,0,0,D,,,,,,,,,,,,
256,E0,26/02/00,Sheffield Weds,Newcastle,0,2,A,0,1,A,,,,,,,,,,,,
257,E0,26/02/00,Sunderland,Derby,1,1,D,0,0,D,,,,,,,,,,,,
258,E0,26/02/00,West Ham,Everton,0,4,A,0,1,A,,,,,,,,,,,,
259,E0,26/02/00,Wimbledon,Man United,2,2,D,1,1,D,,,,,,,,,,,,
260,E0,04/03/00,Derby,Wimbledon,4,0,H,0,0,D,,,,,,,,,,,,
261,E0,04/03/00,Everton,Sheffield Weds,1,1,D,1,0,H,,,,,,,,,,,,
262,E0,04/03/00,Man United,Liverpool,1,1,D,1,1,D,,,,,,,,,,,,
263,E0,04/03/00,Newcastle,Chelsea,0,1,A,0,1,A,,,,,,,,,,,,
264,E0,04/03/00,Southampton,Middlesbrough,1,1,D,1,1,D,,,,,,,,,,,,
265,E0,04/03/00,Tottenham,Bradford,1,1,D,1,1,D,,,,,,,,,,,,
266,E0,04/03/00,Watford,West Ham,1,2,A,0,2,A,,,,,,,,,,,,
267,E0,05/03/00,Aston Villa,Arsenal,1,1,D,0,0,D,,,,,,,,,,,,
268,E0,05/03/00,Leeds,Coventry,3,0,H,2,0,H,,,,,,,,,,,,
269,E0,05/03/00,Leicester,Sunderland,5,2,H,2,0,H,,,,,,,,,,,,
270,E0,08/03/00,West Ham,Southampton,2,0,H,1,0,H,,,,,,,,,,,,
271,E0,11/03/00,Aston Villa,Coventry,1,0,H,1,0,H,,,,,,,,,,,,
272,E0,11/03/00,Chelsea,Everton,1,1,D,1,0,H,,,,,,,,,,,,
273,E0,11/03/00,Liverpool,Sunderland,1,1,D,1,0,H,,,,,,,,,,,,
274,E0,11/03/00,Man United,Derby,3,1,H,1,0,H,,,,,,,,,,,,
275,E0,11/03/00,Newcastle,Watford,1,0,H,0,0,D,,,,,,,,,,,,
276,E0,11/03/00,Sheffield Weds,West Ham,3,1,H,0,1,A,,,,,,,,,,,,
277,E0,11/03/00,Tottenham,Southampton,7,2,H,4,2,H,,,,,,,,,,,,
278,E0,11/03/00,Wimbledon,Leicester,2,1,H,1,0,H,,,,,,,,,,,,
279,E0,12/03/00,Bradford,Leeds,1,2,A,0,1,A,,,,,,,,,,,,
280,E0,12/03/00,Middlesbrough,Arsenal,2,1,H,0,0,D,,,,,,,,,,,,
281,E0,15/03/00,Coventry,Everton,1,0,H,0,0,D,,,,,,,,,,,,
282,E0,15/03/00,Liverpool,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,
283,E0,18/03/00,Coventry,Bradford,4,0,H,2,0,H,,,,,,,,,,,,
284,E0,18/03/00,Derby,Liverpool,0,2,A,0,1,A,,,,,,,,,,,,
285,E0,18/03/00,Leicester,Man United,0,2,A,0,1,A,,,,,,,,,,,,
286,E0,18/03/00,Southampton,Aston Villa,2,0,H,1,0,H,,,,,,,,,,,,
287,E0,18/03/00,Sunderland,Middlesbrough,1,1,D,0,0,D,,,,,,,,,,,,
288,E0,18/03/00,Watford,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,
289,E0,18/03/00,West Ham,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,
290,E0,19/03/00,Arsenal,Tottenham,2,1,H,2,1,H,,,,,,,,,,,,
291,E0,19/03/00,Everton,Newcastle,0,2,A,0,0,D,,,,,,,,,,,,
292,E0,19/03/00,Leeds,Wimbledon,4,1,H,3,1,H,,,,,,,,,,,,
293,E0,25/03/00,Aston Villa,Derby,2,0,H,1,0,H,,,,,,,,,,,,
294,E0,25/03/00,Bradford,Man United,0,4,A,0,2,A,,,,,,,,,,,,
295,E0,25/03/00,Chelsea,Southampton,1,1,D,0,0,D,,,,,,,,,,,,
296,E0,25/03/00,Liverpool,Newcastle,2,1,H,0,0,D,,,,,,,,,,,,
297,E0,25/03/00,Middlesbrough,Sheffield Weds,1,0,H,1,0,H,,,,,,,,,,,,
